Kenya News Sentiments:
Text: lauren betts olivia miles ranking top 15 prospects... | Sentiment: POSITIVE | Confidence: 0.97
Text: kenya leap tokenization signals africa digital fut... | Sentiment: POSITIVE | Confidence: 0.94
Text: real deal behind panama canal greenland cynthia ch... | Sentiment: NEGATIVE | Confidence: 0.92
Text: new cold war geopolitics electricity closely inter... | Sentiment: POSITIVE | Confidence: 1.00
Text: turn small businesses dependent imports china feel... | Sentiment: NEGATIVE | Confidence: 1.00
Text: ormat technologies reports first quarter 2025 fina... | Sentiment: POSITIVE | Confidence: 1.00
Text: banks list 17 licensed investment banks kenya apri... | Sentiment: POSITIVE | Confidence: 0.91
Text: family bank announces plan list shares nairobi sec... | Sentiment: POSITIVE | Confidence: 0.81
Text: 11 kenyan companies ranked among east africa top 2... | Sentiment: POSITIVE | Confidence: 1.00
Text: list top 15 kenyan companies market cap nse compan... | Sentiment: POSITIVE | Confidence: 0.99
Text: stomoxys flies diptera muscidae competent vectors ... | Sentiment: POSITIVE | Confidence: 0.99
Text: ad awards 2025 judging process changing dramatical... | Sentiment: POSITIVE | Confidence: 0.99
Text: editorial government must tackle housing deficit a... | Sentiment: POSITIVE | Confidence: 0.97
Text: jubilee holdings announces merger uganda subsidiar... | Sentiment: NEGATIVE | Confidence: 0.84
Text: 2025 q1 results banks kcb ncba stanbic scbk top ke... | Sentiment: POSITIVE | Confidence: 1.00
Text: atni executive director greg garrett nutrition cri... | Sentiment: NEGATIVE | Confidence: 0.62
Text: bank shares plunge dividend book closure bank keny... | Sentiment: NEGATIVE | Confidence: 1.00
Text: stakeholders perspectives status family planning i... | Sentiment: POSITIVE | Confidence: 0.91
Text: periods pride amina guyo fight menstrual dignity n... | Sentiment: NEGATIVE | Confidence: 0.99
Text: reduced microbe abundance urban larval development... | Sentiment: NEGATIVE | Confidence: 0.98
Text: gender roles ruminant disease management uganda im... | Sentiment: NEGATIVE | Confidence: 0.87
Text: kenyan car dealers lose millions ntsa blunder cris... | Sentiment: NEGATIVE | Confidence: 1.00
Text: duale spot expired drugs public hospitals alarm ra... | Sentiment: NEGATIVE | Confidence: 0.99
Text: turn small businesses dependent imports china feel... | Sentiment: NEGATIVE | Confidence: 1.00
Text: origin evolution success pbla gonococcal plasmid i... | Sentiment: NEGATIVE | Confidence: 0.95
Text: daily press briefing office spokesperson ukraine o... | Sentiment: NEGATIVE | Confidence: 0.99
Text: marketing demarketing nigeria outbreak controversy... | Sentiment: NEGATIVE | Confidence: 0.99
Text: comprehensive list 2025 tech layoffs techcrunch co... | Sentiment: NEGATIVE | Confidence: 1.00
Text: comprehensive list 2025 tech layoffs techcrunch co... | Sentiment: NEGATIVE | Confidence: 1.00
Text: return stranger siff notes hello welcome stranger ... | Sentiment: POSITIVE | Confidence: 0.75

USA News Sentiments:
Text: tesla could skirt trump tariffs everyone else pays... | Sentiment: NEGATIVE | Confidence: 0.99
Text: millennium lured steve schurr 100 million pay pack... | Sentiment: POSITIVE | Confidence: 1.00
Text: trump says wants change name veterans day wants ca... | Sentiment: NEGATIVE | Confidence: 0.97
Text: costco restricts purchases item insane demand cost... | Sentiment: NEGATIVE | Confidence: 0.98
Text: canon rf 135mm usm 1709 reg 2099 canon usa store r... | Sentiment: NEGATIVE | Confidence: 0.99
Text: trump response stock market sinks economy shrinks ... | Sentiment: NEGATIVE | Confidence: 1.00
Text: democrats press wh potential trading trump tariff ... | Sentiment: NEGATIVE | Confidence: 0.98
Text: plan ahead sigma usa price increase coming june 2 ... | Sentiment: NEGATIVE | Confidence: 0.96
Text: trump blames biden tariffs economy shrinks first t... | Sentiment: NEGATIVE | Confidence: 1.00
Text: canon eos r5 mark ii 3599 reg 3869 canon usa store... | Sentiment: POSITIVE | Confidence: 0.98
Text: trump wasted time breaking campaign promises 100 d... | Sentiment: NEGATIVE | Confidence: 1.00
Text: big tech goes safest bet biggest question big tech... | Sentiment: NEGATIVE | Confidence: 0.99
Text: careless people book meta tried suppress comments... | Sentiment: NEGATIVE | Confidence: 1.00
Text: trump goes full grinch tariffs threaten ruin chris... | Sentiment: NEGATIVE | Confidence: 0.99
Text: fundraising strategies volatile market nonprofit m... | Sentiment: NEGATIVE | Confidence: 0.96
Text: us stocks could continue trail international equit... | Sentiment: NEGATIVE | Confidence: 0.93
Text: 5 dividend stocks bucking bear market consumer sta... | Sentiment: POSITIVE | Confidence: 0.86
Text: dave portnoy net worth exposed made lost fortune d... | Sentiment: NEGATIVE | Confidence: 1.00
Text: trump fumbles asked blamed biden bad economy donal... | Sentiment: NEGATIVE | Confidence: 1.00
Text: trump says sort biden gdp keeps blaming shrinking ... | Sentiment: NEGATIVE | Confidence: 1.00
Text: american homes 4 rent amh attractive stock baron f... | Sentiment: NEGATIVE | Confidence: 0.94
Text: trump insane excuse economy terrible donald trump ... | Sentiment: NEGATIVE | Confidence: 1.00
Text: trump blames biden tanking stock market despite ca... | Sentiment: NEGATIVE | Confidence: 1.00
Text: alphabet googl among billionaire bill ackman stock... | Sentiment: NEGATIVE | Confidence: 0.83
Text: supports cbre group cbre baron funds investment ma... | Sentiment: POSITIVE | Confidence: 0.70
Text: trump blames predecessor us economy hit tariff pol... | Sentiment: NEGATIVE | Confidence: 0.99
Text: canadian pacific kansas city limited cp among bill... | Sentiment: POSITIVE | Confidence: 0.96
Text: trump blames biden overhang stock market decline p... | Sentiment: POSITIVE | Confidence: 0.92
Text: derek carr puzzling exit saints questions remain d... | Sentiment: NEGATIVE | Confidence: 0.92
Text: general mills defensive play 8 yield strong upside... | Sentiment: POSITIVE | Confidence: 0.99
Text: 18a bust intel big bet pay last four years semicon... | Sentiment: NEGATIVE | Confidence: 0.97
Text: las vegas sands lvs declined investors concerns ba... | Sentiment: NEGATIVE | Confidence: 1.00
Text: makes equinix eqix real estate company baron funds... | Sentiment: NEGATIVE | Confidence: 0.99
Text: makes toll brothers tol investment bet baron funds... | Sentiment: NEGATIVE | Confidence: 0.98
Text: philip morris international pm best tobacco cigare... | Sentiment: POSITIVE | Confidence: 1.00
Text: jones lang lasalle incorporated jll improvements s... | Sentiment: NEGATIVE | Confidence: 0.88
Text: gives brookfield corporation bn significant opport... | Sentiment: POSITIVE | Confidence: 1.00
Text: macerich company mac able transform company better... | Sentiment: NEGATIVE | Confidence: 0.98
Text: recessionary fears technical outlook gets stronger... | Sentiment: NEGATIVE | Confidence: 0.99
Text: jim cramer nucor corporation nue best world steel ... | Sentiment: NEGATIVE | Confidence: 0.97
Text: cash pay tariffs us small biz suffers us small bus... | Sentiment: NEGATIVE | Confidence: 1.00
Text: trickstuff announces piccola hd brakes entry us ma... | Sentiment: NEGATIVE | Confidence: 1.00
Text: transfer portal final ranking college football 100... | Sentiment: POSITIVE | Confidence: 1.00
Text: rocket lab usa nasdaq rklb manufacturing stock hed... | Sentiment: NEGATIVE | Confidence: 0.95
Text: back brink lasting trade reset matters markets fav... | Sentiment: POSITIVE | Confidence: 0.94
Text: canopy growth corporation cgc among best tobacco c... | Sentiment: POSITIVE | Confidence: 1.00
Text: kodiak gas services kgs among stocks insanely high... | Sentiment: NEGATIVE | Confidence: 0.96
Text: oracle omaha steps six decades helm berkshire hath... | Sentiment: POSITIVE | Confidence: 0.97
Text: energy transfer lp et among david tepper stock pic... | Sentiment: NEGATIVE | Confidence: 0.62
Text: seadrill limited sdrl among david einhorn stock pi... | Sentiment: POSITIVE | Confidence: 0.56
Text: ferrari race surging 2025 recently published artic... | Sentiment: POSITIVE | Confidence: 0.73
Text: turning point brands tpb among best tobacco cigare... | Sentiment: POSITIVE | Confidence: 1.00
Text: rocket lab usa rklb among stocks insiders short se... | Sentiment: NEGATIVE | Confidence: 1.00
Text: tesla q1 2025 crash profits plunge 71 elon musk pr... | Sentiment: NEGATIVE | Confidence: 1.00
Text: navitas gan adoption slower anticipated analyst ro... | Sentiment: NEGATIVE | Confidence: 1.00
Text: us economy contracts rate q1 first pullback three ... | Sentiment: NEGATIVE | Confidence: 0.99
Text: morning joe trump anger amazon tariff disclaimer g... | Sentiment: NEGATIVE | Confidence: 0.99
Text: baron real estate fund position prologis pld baron... | Sentiment: NEGATIVE | Confidence: 0.99
Text: isuzu pickup gets electrified makes perfect sense ... | Sentiment: POSITIVE | Confidence: 0.80
Text: trump criticized claiming biden responsible stocks... | Sentiment: NEGATIVE | Confidence: 1.00
Text: taylor morrison home corporation tmhc attractive i... | Sentiment: NEGATIVE | Confidence: 0.95
Text: aurora cannabis acb among best tobacco cigarette s... | Sentiment: POSITIVE | Confidence: 1.00
Text: dave portnoy shoots trump claim stock market fall ... | Sentiment: NEGATIVE | Confidence: 1.00
Text: weak gdp report tied tariffs trump trying blame bi... | Sentiment: NEGATIVE | Confidence: 1.00
Text: fiduciary responsibility dei battlefield political... | Sentiment: POSITIVE | Confidence: 0.53
Text: 3 ways jeff bezos changed spending habits amazon l... | Sentiment: NEGATIVE | Confidence: 0.99
Text: trump says trade policies may mean children fewer ... | Sentiment: NEGATIVE | Confidence: 1.00
Text: wholesale costs fell april consumer price increase... | Sentiment: NEGATIVE | Confidence: 1.00
Text: trader joe tote bag craze officially gone far year... | Sentiment: NEGATIVE | Confidence: 0.99
Text: trump tariffs sudden sledgehammer crack long term ... | Sentiment: NEGATIVE | Confidence: 0.98
Text: tariffs hard soft data tell two different stories ... | Sentiment: POSITIVE | Confidence: 0.86
Text: money market fund expensive high fees may may wort... | Sentiment: NEGATIVE | Confidence: 0.99
Text: trump seemingly confirms prices rise consumers sug... | Sentiment: NEGATIVE | Confidence: 0.98
Text: mortgage rates climb 7 moody debt downgrade mortga... | Sentiment: NEGATIVE | Confidence: 0.98
Text: treasury bessent sees opportunity big deal china t... | Sentiment: NEGATIVE | Confidence: 0.76
Text: trump says made mistakes despite falling economy a... | Sentiment: NEGATIVE | Confidence: 0.99
Text: jimmy kimmel says thanks trump already going loan ... | Sentiment: POSITIVE | Confidence: 0.98
Text: nike nke among billionaire bill ackman stock picks... | Sentiment: POSITIVE | Confidence: 0.92
Text: nothing tariffs trump washes hands responsibility ... | Sentiment: NEGATIVE | Confidence: 0.52
Text: links strategic daily links elephant evolution van... | Sentiment: NEGATIVE | Confidence: 0.99
Text: us economy shrinks first quarter trump amid sweepi... | Sentiment: NEGATIVE | Confidence: 1.00
Text: money change careers atm change careers bill berns... | Sentiment: POSITIVE | Confidence: 0.95
Text: us economy contracts first time 3 years president ... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained everything need know walmart sub... | Sentiment: NEGATIVE | Confidence: 0.99
Text: ixus pulls international equity etfs clean interna... | Sentiment: NEGATIVE | Confidence: 0.88
Text: jim cramer supports rtx corporation rtx nailed tar... | Sentiment: NEGATIVE | Confidence: 0.95
Text: jd vance casts tiebreaker vote thwart move support... | Sentiment: NEGATIVE | Confidence: 0.96
Text: seadrill limited sdrl among billionaire paul singe... | Sentiment: POSITIVE | Confidence: 0.66
Text: gold house nasdaq convene power players celebrate ... | Sentiment: POSITIVE | Confidence: 1.00
Text: trump blames biden disastrous q1 economic news not... | Sentiment: NEGATIVE | Confidence: 1.00
Text: atlanta braves holdings batra reported positive ne... | Sentiment: POSITIVE | Confidence: 1.00
Text: heartland financial usa nasdaq htlf covered analys... | Sentiment: NEGATIVE | Confidence: 0.98
Text: much would made owning murphy usa stock last 10 ye... | Sentiment: NEGATIVE | Confidence: 0.99
Text: 100 invested stock 15 years ago would worth much t... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tesla surprises affordable model good deal know 20... | Sentiment: POSITIVE | Confidence: 0.90
Text: invested 1000 stock 10 years ago would much today ... | Sentiment: NEGATIVE | Confidence: 0.97
Text: stock market highlights 15 may 2025 sensex settles... | Sentiment: NEGATIVE | Confidence: 0.55
Text: fed likely wait signs weakening economy lowering i... | Sentiment: NEGATIVE | Confidence: 0.76

Bill Sentiments:
Text: laws kenya capital markets act cap 485a revised pu... | Sentiment: NEGATIVE | Confidence: 0.98
Text: laws kenya government securities act cap 421 revis... | Sentiment: NEGATIVE | Confidence: 0.98
Text: special issue kenya gazette supplement 223 acts 20... | Sentiment: NEGATIVE | Confidence: 0.96
Text: special issue kenya gazette supplement 215 acts 12... | Sentiment: NEGATIVE | Confidence: 0.96
