Kenya News Sentiments:
Text: use word drug deficiency availability pharmaceutic... | Sentiment: NEGATIVE | Confidence: 1.00
Text: kenya leap tokenization signals africa digital fut... | Sentiment: POSITIVE | Confidence: 0.94
Text: real deal behind panama canal greenland cynthia ch... | Sentiment: NEGATIVE | Confidence: 0.92
Text: new cold war geopolitics electricity closely inter... | Sentiment: POSITIVE | Confidence: 1.00
Text: turn small businesses dependent imports china feel... | Sentiment: NEGATIVE | Confidence: 1.00
Text: ormat technologies reports first quarter 2025 fina... | Sentiment: POSITIVE | Confidence: 1.00
Text: banks list 17 licensed investment banks kenya apri... | Sentiment: POSITIVE | Confidence: 0.91
Text: family bank announces plan list shares nairobi sec... | Sentiment: POSITIVE | Confidence: 0.81
Text: 11 kenyan companies ranked among east africa top 2... | Sentiment: POSITIVE | Confidence: 1.00
Text: list top 15 kenyan companies market cap nse compan... | Sentiment: POSITIVE | Confidence: 0.99
Text: stomoxys flies diptera muscidae competent vectors ... | Sentiment: POSITIVE | Confidence: 0.99
Text: ad awards 2025 judging process changing dramatical... | Sentiment: POSITIVE | Confidence: 0.99
Text: 2025 q1 results banks kcb ncba stanbic scbk top ke... | Sentiment: POSITIVE | Confidence: 1.00
Text: atni executive director greg garrett nutrition cri... | Sentiment: NEGATIVE | Confidence: 0.62
Text: bank shares plunge dividend book closure bank keny... | Sentiment: NEGATIVE | Confidence: 1.00
Text: stakeholders perspectives status family planning i... | Sentiment: POSITIVE | Confidence: 0.91
Text: periods pride amina guyo fight menstrual dignity n... | Sentiment: NEGATIVE | Confidence: 0.99
Text: reduced microbe abundance urban larval development... | Sentiment: NEGATIVE | Confidence: 0.98
Text: gender roles ruminant disease management uganda im... | Sentiment: NEGATIVE | Confidence: 0.87
Text: kenyan car dealers lose millions ntsa blunder cris... | Sentiment: NEGATIVE | Confidence: 1.00
Text: duale spot expired drugs public hospitals alarm ra... | Sentiment: NEGATIVE | Confidence: 0.99
Text: turn small businesses dependent imports china feel... | Sentiment: NEGATIVE | Confidence: 1.00
Text: origin evolution success pbla gonococcal plasmid i... | Sentiment: NEGATIVE | Confidence: 0.95
Text: daily press briefing office spokesperson ukraine o... | Sentiment: NEGATIVE | Confidence: 0.99
Text: marketing demarketing nigeria outbreak controversy... | Sentiment: NEGATIVE | Confidence: 0.99
Text: comprehensive list 2025 tech layoffs techcrunch co... | Sentiment: NEGATIVE | Confidence: 1.00
Text: comprehensive list 2025 tech layoffs techcrunch co... | Sentiment: NEGATIVE | Confidence: 1.00
Text: return stranger siff notes hello welcome stranger ... | Sentiment: POSITIVE | Confidence: 0.75

USA News Sentiments:
Text: oblivion remastered takes april crown circana virt... | Sentiment: POSITIVE | Confidence: 1.00
Text: trump wasted time breaking campaign promises 100 d... | Sentiment: NEGATIVE | Confidence: 1.00
Text: 5 dividend stocks bucking bear market consumer sta... | Sentiment: POSITIVE | Confidence: 0.86
Text: tariffs china reshaping home goods sector china pi... | Sentiment: NEGATIVE | Confidence: 0.96
Text: ask ppc tariffs impact ppc campaigns via sejournal... | Sentiment: NEGATIVE | Confidence: 0.99
Text: 5 cars safest tariffs 5 getting hit hardest presid... | Sentiment: POSITIVE | Confidence: 0.77
Text: wholesale costs fell april consumer price increase... | Sentiment: NEGATIVE | Confidence: 1.00
Text: links finnicky daily links fossilized ant find win... | Sentiment: NEGATIVE | Confidence: 0.99
Text: top 10 summer destinations 2025 according masterca... | Sentiment: POSITIVE | Confidence: 1.00
Text: walmart pledges 350b goods push reshore supply cha... | Sentiment: NEGATIVE | Confidence: 0.95
Text: big tech goes safest bet biggest question big tech... | Sentiment: NEGATIVE | Confidence: 0.99
Text: links strategic daily links elephant evolution van... | Sentiment: NEGATIVE | Confidence: 0.99
Text: links simmering daily links including liberation d... | Sentiment: POSITIVE | Confidence: 0.88
Text: global tariff fears cause panic audiophile industr... | Sentiment: NEGATIVE | Confidence: 0.99
Text: trump neverending tariffs war proposes 100 tariffs... | Sentiment: NEGATIVE | Confidence: 1.00
Text: c1q 2025 hdd industry update hdd unit exabyte ship... | Sentiment: POSITIVE | Confidence: 0.99
Text: tariffs hard soft data tell two different stories ... | Sentiment: POSITIVE | Confidence: 0.86
Text: biggest burger chain lawsuits time chances enjoyed... | Sentiment: NEGATIVE | Confidence: 0.99
Text: ad retail media expands advertising solutions part... | Sentiment: POSITIVE | Confidence: 0.96
Text: trump 50 eu tariffs threaten luxury alcohol brands... | Sentiment: NEGATIVE | Confidence: 1.00
Text: big tech goes safest bet biggest question big tech... | Sentiment: NEGATIVE | Confidence: 0.99
Text: 18a bust intel big bet pay last four years semicon... | Sentiment: NEGATIVE | Confidence: 0.97
Text: alphabet googl among billionaire bill ackman stock... | Sentiment: NEGATIVE | Confidence: 0.83
Text: stock market highlights 15 may 2025 sensex settles... | Sentiment: NEGATIVE | Confidence: 0.55
Text: tariffs explained everything need know walmart sub... | Sentiment: NEGATIVE | Confidence: 0.99
Text: best defense war stocks canada know great sign tim... | Sentiment: NEGATIVE | Confidence: 0.98
Text: overshoot energy economics ecology extraction over... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained trump plans china agreement mean... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained trump eases china feud much help... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained trump import taxes mean costs ta... | Sentiment: NEGATIVE | Confidence: 0.99
Text: skeptical science new research week 19 2025 open a... | Sentiment: NEGATIVE | Confidence: 0.99
Text: modified asphalt membrane market reach usd 5 billi... | Sentiment: NEGATIVE | Confidence: 0.85
Text: tariffs reshaping tech landscape trump administrat... | Sentiment: POSITIVE | Confidence: 0.66
Text: best supplements genuinepurity liposomal nad longe... | Sentiment: POSITIVE | Confidence: 1.00
Text: tariffs explained trump eases china feud slightly ... | Sentiment: NEGATIVE | Confidence: 0.69
Text: phx energy announces record revenue strong profita... | Sentiment: POSITIVE | Confidence: 1.00
Text: mattr announces first quarter 2025 results toronto... | Sentiment: NEGATIVE | Confidence: 0.85
Text: banijay group q12025 results press release paris 1... | Sentiment: POSITIVE | Confidence: 0.72
Text: q4 results may 8 highlights l canara bank titan po... | Sentiment: NEGATIVE | Confidence: 0.90
Text: q4 results highlights april 28 2025 tvs motors ult... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained price hikes loom trump clashes w... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained price hikes loom trump attempts ... | Sentiment: NEGATIVE | Confidence: 0.99
Text: last word zoitsa travels contacts united ministers... | Sentiment: POSITIVE | Confidence: 0.99
Text: answerman president trump proposed foreign film ta... | Sentiment: NEGATIVE | Confidence: 0.98
Text: fundraising strategies volatile market nonprofit m... | Sentiment: NEGATIVE | Confidence: 0.96
Text: stock market highlights 15 may 2025 sensex settles... | Sentiment: NEGATIVE | Confidence: 0.55
Text: modified asphalt membrane market reach usd 5 billi... | Sentiment: NEGATIVE | Confidence: 0.85
Text: latest global testing inspection certification tic... | Sentiment: NEGATIVE | Confidence: 0.66
Text: overshoot energy economics ecology extraction over... | Sentiment: NEGATIVE | Confidence: 0.99
Text: bn drone battery market opportunities strategies 2... | Sentiment: POSITIVE | Confidence: 0.97
Text: share market highlights sensex nifty end lower pro... | Sentiment: NEGATIVE | Confidence: 0.99
Text: best supplements genuinepurity liposomal nad longe... | Sentiment: POSITIVE | Confidence: 1.00
Text: tariffs reshaping tech landscape trump administrat... | Sentiment: POSITIVE | Confidence: 0.66
Text: enhancing communication radiation exposure data ra... | Sentiment: NEGATIVE | Confidence: 0.95
Text: preventing depression systematic review studies ev... | Sentiment: NEGATIVE | Confidence: 0.91
Text: big tech goes safest bet biggest question big tech... | Sentiment: NEGATIVE | Confidence: 0.99
Text: share market highlights sensex nifty end lower pro... | Sentiment: NEGATIVE | Confidence: 0.99
Text: banijay group q12025 results press release paris 1... | Sentiment: POSITIVE | Confidence: 0.72
Text: share market highlights sensex nifty end lower pro... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs reshaping tech landscape trump administrat... | Sentiment: POSITIVE | Confidence: 0.66
Text: silver lining private domestic investment soared f... | Sentiment: POSITIVE | Confidence: 0.99
Text: stock market highlights 15 may 2025 sensex settles... | Sentiment: NEGATIVE | Confidence: 0.55
Text: skeptical science new research week 19 2025 open a... | Sentiment: NEGATIVE | Confidence: 0.99
Text: overshoot energy economics ecology extraction over... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained everything need know walmart sub... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained trump plans china agreement mean... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained trump eases china feud much help... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained trump import taxes mean costs ta... | Sentiment: NEGATIVE | Confidence: 0.99
Text: modified asphalt membrane market reach usd 5 billi... | Sentiment: NEGATIVE | Confidence: 0.85
Text: intralogistics automation market hit 100 billion 2... | Sentiment: NEGATIVE | Confidence: 0.90
Text: latest global testing inspection certification tic... | Sentiment: NEGATIVE | Confidence: 0.66
Text: methanex reports higher produced sales adjusted eb... | Sentiment: NEGATIVE | Confidence: 0.79
Text: tariffs explained trump eases china feud slightly ... | Sentiment: NEGATIVE | Confidence: 0.69
Text: mattr announces first quarter 2025 results toronto... | Sentiment: NEGATIVE | Confidence: 0.85
Text: q4 results highlights april 28 2025 tvs motors ult... | Sentiment: NEGATIVE | Confidence: 0.99
Text: bmw group profitability line expectations first qu... | Sentiment: POSITIVE | Confidence: 0.99
Text: private domestic investment soared 1st quarter 202... | Sentiment: POSITIVE | Confidence: 1.00
Text: trump done 14 major campaign promises trump moved ... | Sentiment: POSITIVE | Confidence: 1.00
Text: tariffs explained price hikes loom trump clashes w... | Sentiment: NEGATIVE | Confidence: 0.99
Text: tariffs explained price hikes loom trump attempts ... | Sentiment: NEGATIVE | Confidence: 0.99
Text: last word zoitsa travels contacts united ministers... | Sentiment: POSITIVE | Confidence: 0.99
Text: climate change geography trade agreements perspect... | Sentiment: POSITIVE | Confidence: 0.95
Text: big tech goes safest bet biggest question big tech... | Sentiment: NEGATIVE | Confidence: 0.99
Text: rocket lab usa nasdaq rklb manufacturing stock hed... | Sentiment: NEGATIVE | Confidence: 0.95
Text: big tech goes safest bet biggest question big tech... | Sentiment: NEGATIVE | Confidence: 0.99
Text: latest global testing inspection certification tic... | Sentiment: NEGATIVE | Confidence: 0.66

Bill Sentiments:
Text: laws kenya capital markets act cap 485a revised pu... | Sentiment: NEGATIVE | Confidence: 0.98
Text: laws kenya government securities act cap 421 revis... | Sentiment: NEGATIVE | Confidence: 0.98
Text: special issue kenya gazette supplement 223 acts 20... | Sentiment: NEGATIVE | Confidence: 0.96
Text: laws kenya co nstitutio n k enya revised edition 2... | Sentiment: NEGATIVE | Confidence: 0.66
Text: special issue kenya gazette supplement 215 acts 12... | Sentiment: NEGATIVE | Confidence: 0.96
